foundation_id	layer	source	data_block	assay_modality	specimen_type	sampling_context	stage_or_timepoint	n_profiles	query_unit	product_query_eligibility	current_state	priority	bridge_use	not_valid_as	next_action	source_url
REF_OWN_SCRNA	reference	Chen own human vMB	early/mid developmental cohort	scRNA-seq	whole cells	developmental_reference	GW7/8/9/12/16/20	61455	embryo sample	reference_only	ready	P0	target/adjacent/off-axis programs; early regional identity	product query; product-quality truth	freeze sample manifest and annotation version	internal_final_h5ad_audit_2026-07-13
REF_OWN_SNRNA	reference	Chen own human vMB	mid/late developmental cohort	snRNA-seq	nuclei	developmental_reference	GW14/16/18/20/24/25	87467	embryo sample	reference_only	ready	P0	later neuronal and DA subtype coverage	product query; paired sc/sn cohort	freeze sample manifest and annotation version	internal_final_h5ad_audit_2026-07-13
REF_OWN_COMBINED	reference	Chen own human vMB	integrated developmental reference	scRNA-seq + snRNA-seq	whole cells + nuclei	developmental_reference	12 non-paired embryos; 10 unique gestational ages	148922	integrated reference	reference_only	ready_with_caveat	P0	reference mapping; developmental context; ontology construction	continuous modality-free GW7-GW25 series; product truth	run modality-aware sensitivity analysis; freeze SysVI/reference version	internal_final_h5ad_audit_2026-07-13
REF_RG_NB	reference	Chen own derived subset	RG/Nb regional subtypes	derived sc/sn expression	cell/nucleus profiles	developmental_reference	14 regional subtypes	15095	cell-state reference	reference_only	ready_with_caveat	P0	mFP/mBIP/mBMP target and adjacent-state definition	complete-product composition	freeze ontology and marker table	internal_final_h5ad_audit_2026-07-13
REF_NEUROGENESIS	reference	Chen own derived subset	neurogenesis and vMB subsets	derived sc/sn expression	cell/nucleus profiles	developmental_reference	83017 neurogenesis; 77382 vMB-focused subset	83017	cell-state reference	reference_only	ready_with_caveat	P1	DA/GABA/Glut/RG/Nb state and trajectory programs	potency; causal lineage truth	select frozen embedding and document modality/age imbalance	internal_final_h5ad_audit_2026-07-13
REF_SPATIAL_HEB58	reference	Chen own hEB58	Visium HD sections 2 and 9	Visium HD	segmented tissue profiles	developmental_reference	GW7; two sections from one embryo	411161	section/ROI	reference_only	data_ready_analysis_pending	P0	spatial marker specificity and anatomical anchoring	independent biological replication; product query	confirm section orientation/ROI and complete spatial mapping	internal_spatial_audit_2026-07-13
REF_LEGACY_OWN_GW7_20	reference	Chen own legacy Step1 snapshot	GW7-20 source used in old whole-brain reference	scRNA-seq	whole cells	developmental_reference_source	GW7/8/9/12/16/20; local gestational-week labels	63033	embryo sample	reference_only	legacy_snapshot_ready	P0	midbrain anchor within old whole-brain Step1 reference	current canonical 61,455-cell snapshot; additive independent cohort	reconcile the 63,033 versus 61,455 preprocessing/annotation versions and freeze one lineage record	internal_legacy_step1_notebook_audit_2026-07-13
REF_BRAUN_2023	reference	Braun et al. 2023	first-trimester developing human whole-brain atlas	scRNA-seq	whole cells	developmental_reference_source	paper PCW5-14; local harmonized Age GW7.0-16.0	1548209	donor x sample x region	reference_only	processed_source_ready	P0	broad brain-region prescreen; radial glia/neuroblast/neuron/off-axis context	midbrain-specific product truth; independent validation after inclusion in training	freeze HCA project/file version, donor table and label-harmonization map	https://explore.data.humancellatlas.org/projects/cbd2911f-252b-4428-abde-69e270aefdfc
REF_ZENG_2023_WXQ	reference	Zeng et al. 2023 / Xiaoqun Wang group	local wxq early embryo and brain atlas source	scRNA-seq	whole cells	developmental_reference_source	paper PCW3-12; local harmonized Age GW5-14	400141	embryo sample	reference_only	processed_source_ready	P0	gastrulation/neural-tube/early-brain and non-neural lineage context	fine brain-region ground truth while local Region is Unknown; independent validation after training inclusion	freeze GSE155121 sample/accession map, stage conversion and original regional labels	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155121
REF_LEGACY_STEP1_FULL	reference	legacy BRIDGE derived asset	merged whole-brain Step1 reference from legacy own + Braun + Zeng/wxq	scRNA-seq	whole cells	derived_reference_full	three source datasets; 47,849 union genes	2011383	cell with source/sample metadata	reference_only	validated_merged_asset	P0	full source universe for broad whole-brain annotation and RG routing	independent dataset; additive to its three parent sources; product-quality truth	write immutable parent/source manifest and hashes; document label harmonization and preprocessing	internal_merge_validation_2025-12-05
